,Nome,Parte edibile,Acqua,Energia,Energia.1,Proteine totali,Proteine animali,Proteine vegetali,Lipidi totali,Lipidi animali,Lipidi vegetali,Lipidi saturi,Acido oleico,Monoinsaturi totali,Acido linoleico,Acido linolenico,Altri polinsaturi,Polinsaturi totali,Colesterolo,Glucidi dispon.,Amido,Glucidi solubili,Fibra alimentare ,Alcool,Fe,Ca,Na,K,P,Zn,B1,B2,Niacina,Vit. C,Vit. B6,Acido Folico,Retinolo equivalenti,Vit. A,b-carotene,Vit. E,Vit. D,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
398,OLIVE NERE,74,"68,6",234,979,"1,6",0,"1,6","25,1",0,"25,1","3,51","17,27","17,52","2,65","0,16",0,"2,81",0,"0,8",0,"0,8","2,4",0,"1,6",62,54,432,18,"0,5","0,1","0,1",1,20,"0,02",0,55,0,330,"1,99",0,,,,
399,OLIVE VERDI,84,"76,8",142,594,"0,8",0,"0,8",15,0,15,"2,1","10,32","10,47","1,58","0,1",0,"1,68",0,1,0,1,"4,4",0,"1,6",64,54,432,14,"0,4","0,03","0,08","0,5",0,"0,02",0,48,0,288,"1,99",0,,,,
400,OMBRINA,63,80,78,326,"17,2","17,2",0,"0,7","0,7",0,"0,09","0,07","0,14",0,"0,04","0,36","0,4",57,"0,8",0,"0,8",0,0,"0,4",15,120,280,92,"0,4","0,23","0,1","4,5",0,"0,19",5,0,0,0,"0,4",0,,,,
401,ORATA,69,"78,4",90,377,"19,8","19,8",0,"1,2","1,2",0,"0,15","0,11","0,23",0,"0,06","0,62","0,68",70,0,0,0,0,0,"0,4",12,69,309,125,"0,5","0,04","0,14","4,3",0,"0,19",5,0,0,0,"0,4",0,,,,
402,ORIGANO,100,"44,5",186,778,"6,6",0,"6,6","6,15",0,"6,15","1,595","0,305","0,4","0,625","2,51",0,"3,14",0,"29,6",0,"29,6","25,6",0,"26,3",945,9,1000,"119,5","2,65","0,205","0,32","6,2","22,5","1,21",137,"412,5",0,2475,"1,69",0,,,,
403,ORTICA,100,83,36,151,"5,9",0,"5,9","0,7",0,"0,7","0,09","0,04","0,04","0,07","0,31",0,"0,43",0,"1,3",0,"1,3","4,1",0,"4,4",590,1,670,92,"1,7","0,2","0,15","0,8",175,"0,22",220,358,0,2150,"1,68",0,,,,
404,ORZO PERLATO,100,"12,2",318,1331,"10,4",0,"10,4","1,4",0,"1,4","0,29","0,14","0,14","0,7","0,07",0,"0,77",0,"70,5","70,5",0,"9,1",0,"0,7",14,3,120,189,"2,1","0,09","0,08","3,1",0,"0,22",20,0,0,0,"0,33",0,,,,
405,ORZO SOLUBILE IN POLVERE,100,"4,9",372,1556,"5,5",0,"5,5","3,4",0,"3,4","0,63","0,36","0,37","1,56","0,17",0,"1,73",0,"80,9","80,9",0,"0,1",0,"4,6",52,73,1840,580,"0,5",0,"0,1","16,9",0,"0,22",20,0,0,0,"0,33",0,,,,
406,CAFFE' D'ORZO IN POLVERE,100,"4,9",372,1556,"5,5",0,"5,5","3,4",0,"3,4","0,63","0,36","0,37","1,56","0,17",0,"1,73",0,"80,9","80,9",0,"0,1",0,"4,6",52,73,1840,580,"0,5",0,"0,1","16,9",0,"0,22",20,0,0,0,"0,33",0,,,,
407,OSTRICA,12,"85,7",69,289,"10,2","10,2",0,"0,9","0,9",0,"0,17","0,05","0,21","0,02","0,01","0,16","0,19",98,"5,4",0,0,0,0,6,186,510,260,267,45,"0,1","0,2","1,5",0,"0,16",10,75,75,0,"0,46","0,54",,,,
