Type,Region,Residence Type,Service Type,Year,Coverage,Population,Service level
m49,Europe,rural,Sanitation,2011,46.24108,91672704.87205,Safely managed service
m49,Europe,urban,Sanitation,2011,77.30661,417147377.43354,Safely managed service
m49,Europe,total,Sanitation,2011,3.62102,26717684.56252,Unimproved
m49,Europe,rural,Sanitation,2011,9.68712,19204665.19913,Unimproved
m49,Europe,urban,Sanitation,2011,1.39233,7513013.7516,Unimproved
m49,Europe,total,Drinking water,2011,6.00357,44297411.06958,Basic service
m49,Europe,rural,Drinking water,2011,11.56074,22919100.17386,Basic service
m49,Europe,urban,Drinking water,2011,3.96187,21378311.06861,Basic service
m49,Europe,total,Drinking water,2011,0.57999,4279493.65064,Limited service
m49,Europe,rural,Drinking water,2011,0.60041,1190305.3238,Limited service
m49,Europe,urban,Drinking water,2011,0.57249,3089188.33759,Limited service
m49,Europe,total,Drinking water,2011,92.48056,682368403.61979,Safely managed service
m49,Europe,rural,Drinking water,2011,85.18805,168884858.97507,Safely managed service
m49,Europe,urban,Drinking water,2011,95.15983,513483546.25644,Safely managed service
m49,Europe,total,Drinking water,2011,0.03511,259075.7501,Surface water
m49,Europe,rural,Drinking water,2011,0.02379,47165.518,Surface water
m49,Europe,urban,Drinking water,2011,0.03927,211910.2325,Surface water
m49,Europe,total,Drinking water,2011,0.90076,6646267.91062,Unimproved
m49,Europe,rural,Drinking water,2011,2.62702,5208044.47197,Unimproved
m49,Europe,urban,Drinking water,2011,0.26653,1438217.72736,Unimproved
m49,Europe,total,Sanitation,2012,20.92671,154695478.59627,Basic service
m49,Europe,rural,Sanitation,2012,43.07959,84986680.22606,Basic service
m49,Europe,urban,Sanitation,2012,19.94769,108105894.00613,Basic service
m49,Europe,total,Sanitation,2012,0.92072,6806213.06384,Limited service
m49,Europe,rural,Sanitation,2012,0.98853,1950156.59021,Limited service
m49,Europe,urban,Sanitation,2012,0.89604,4856056.4266,Limited service
m49,Europe,total,Sanitation,2012,0.00439,32478.42169,Open defecation
m49,Europe,rural,Sanitation,2012,0.01391,27443.41426,Open defecation
m49,Europe,urban,Sanitation,2012,0.00093,5035.00747,Open defecation
m49,Europe,total,Sanitation,2012,74.6643,551937306.75786,Safely managed service
m49,Europe,rural,Sanitation,2012,46.56391,91860471.62455,Safely managed service
m49,Europe,urban,Sanitation,2012,77.80831,421679734.52061,Safely managed service
m49,Europe,total,Sanitation,2012,3.48388,25753689.05961,Unimproved
m49,Europe,rural,Sanitation,2012,9.35406,18453523.76672,Unimproved
m49,Europe,urban,Sanitation,2012,1.34703,7300172.90625,Unimproved
m49,Europe,total,Drinking water,2012,5.73523,42396287.51667,Basic service
m49,Europe,rural,Drinking water,2012,10.75091,21209213.21319,Basic service
m49,Europe,urban,Drinking water,2012,3.90944,21187074.04424,Basic service
m49,Europe,total,Drinking water,2012,0.60584,4478518.32543,Limited service
m49,Europe,rural,Drinking water,2012,0.58876,1161499.44102,Limited service
m49,Europe,urban,Drinking water,2012,0.61206,3317018.85289,Limited service
m49,Europe,total,Drinking water,2012,92.76519,685743628.30886,Safely managed service
